DEPT,BASEMENT,CALI,DCALI_FINAL,DTC,DTS,FLWPMPS,GR,LLD,LLM,LLS,NPHI,RHOB,ROP,RPM,TORQUE,WELL,WOB
3690.2136,0,,0.04702346,59.39489365,,463.2720032,145.3498535,379.3291626,,24.79052544,0.112433069,2.521078587,7.854262829,130.0679932,0,15-1-SN-2X,9.706640244
3690.366,0,,0.055999756,58.77322769,,466.3200073,145.0455017,444.8074951,,29.97321129,0.103036746,2.550908089,8.961787224,130.8300018,0,15-1-SN-2X,10.45339966
3690.5184,0,,0.078039289,57.18087387,,465.223999,148.5187988,488.8589172,,32.75070953,0.093829401,2.571944952,13.96822166,130.4080048,0,15-1-SN-2X,10.6614399
3690.6708,0,,0.092980802,55.70524216,,464.3540039,154.0991669,592.0983276,,36.72515488,0.088207349,2.582981587,18.74678803,130,0,15-1-SN-2X,9.999699593
3690.8232,0,,0.089989692,54.63412857,,465,157.4372101,806.7849121,,45.49048233,0.086999998,2.588377953,14.03566074,130,0,15-1-SN-2X,8.853679657
3690.9756,0,,0.082020693,54.43204117,,465,157.2220459,1059.588013,,56.45846558,0.086603671,2.595566988,9.638545036,130,0,15-1-SN-2X,9.600440025
3691.128,0,,0.074999809,54.46513367,,465,155.3243713,1253.017456,,65.30979157,0.085207351,2.601396322,10.9111166,130,0,15-1-SN-2X,10.51360035
3691.2804,0,,0.067008227,54.29091644,,464.5979919,153.7223206,1400.695801,,73.34283447,0.084792651,2.59922576,12.84480286,130.8040009,0,15-1-SN-2X,10.9399004
3691.4328,0,,0.069995776,54.13384628,,464.1640015,153.1733093,1553.843384,,84.00907135,0.086792655,2.594603777,10.88400555,131.6719971,0,15-1-SN-2X,10.97723961
3691.5852,0,,0.089012824,54.46786881,,464.9259949,156.0538635,1673.416382,,94.741539,0.088792652,2.595585346,14.4460144,130.147995,0,15-1-SN-2X,11.2896595
3691.7376,0,,0.098973833,54.98820877,,465,166.6555176,1687.876343,,99.70795441,0.093170606,2.598396301,16.57042313,130,0,15-1-SN-2X,11.59520054
3691.89,0,,0.095000267,55.41450119,,467.7000122,180.9149017,1578.953125,,96.70609283,0.10315223,2.595829487,15.57243252,131.3500061,0,15-1-SN-2X,12.14299965
3692.0424,0,,0.107097082,55.65193558,,472.4840088,185.5715179,1388.553223,,87.99320984,0.114170604,2.585055113,10.33736324,133.2120056,0,15-1-SN-2X,12.97375965
3692.1948,0,,0.143951684,55.93165588,,477.8179932,177.9749756,1194.464478,,77.97516632,0.117811024,2.568073511,8.305728912,133.973999,0,15-1-SN-2X,14.10152054
3692.3472,0,,0.171996012,55.84458542,,468.4320068,169.8617096,1048.840942,,70.25526428,0.115999997,2.549262524,8.678316116,131.0559998,0,15-1-SN-2X,15.55311966
3692.4996,0,,0.16900751,55.93907929,,472.4700012,166.6175995,941.2942505,,65.40350342,0.117585301,2.537414789,10.50684071,131.9920044,0,15-1-SN-2X,16.07991982
3692.652,0,,0.154999733,55.66558838,,476.8800049,162.3515472,853.7387085,,62.55317688,0.120396324,2.534207344,13.38818455,133.4799957,0,15-1-SN-2X,16.44580078
3692.8044,0,,0.138905823,55.39184189,,468.0220032,153.9593201,794.3826904,,61.26680374,0.120603673,2.531018496,12.59180164,131.9779968,0,15-1-SN-2X,17.45156097
3692.9568,0,,0.103046745,55.02846909,,468.7839966,142.6739655,768.9051514,,61.85192871,0.120396324,2.529981613,9.455330849,131.2160034,0,15-1-SN-2X,18.19832039
3693.1092,0,,0.054970238,54.79999924,,467.3619995,130.8851929,776.4181519,,65.59270477,0.121396326,2.544097185,7.872234821,131,0,15-1-SN-2X,18.66115952
3693.2616,0,,0.032059722,54.62976456,,466.9240112,121.7306442,807.6264648,,72.20109558,0.123585306,2.57487154,10.50996494,131,0,15-1-SN-2X,19.08251953
3693.414,0,,0.059000015,54.60606384,,468.7900085,116.7152786,835.3173828,,78.02784729,0.128377959,2.602341175,14.87659073,130.9299927,0,15-1-SN-2X,19.61949921
3693.5664,0,,0.14134489,54.86193466,,466.5039978,114.0850143,821.4268799,,79.13150024,0.135566935,2.611999989,14.2069788,130.1679993,0,15-1-SN-2X,20.26720047
3693.7188,0,,0.272827208,55.50804901,,466,111.6200333,728.295105,,73.12549591,0.148530185,2.611603737,11.3444109,130.5939941,0,15-1-SN-2X,20.32683945
3693.8712,0,,0.419136941,56.2071228,,466.7120056,108.7798538,556.5289307,,60.06906891,0.171889767,2.614170551,10.35329819,131,0,15-1-SN-2X,19.78584099
3694.0236,0,,0.523725629,56.51589584,,467.5280151,105.867363,378.7265015,,45.38406372,0.196737528,2.62653017,13.93766499,130.8820038,0,15-1-SN-2X,18.70113945
3694.176,0,,0.56799984,56.14827347,,464.480011,103.0214996,275.3554993,,36.33416367,0.204622045,2.643944979,12.40565682,130.1199951,0,15-1-SN-2X,17.35239983
3694.3284,0,,0.590094268,55.15649414,,464,99.50222778,249.7577057,,34.31076813,0.199018374,2.65418911,13.52083302,130.6419983,0,15-1-SN-2X,16.92813873
3694.4808,0,,0.625953317,54.29080582,,464,94.61312103,268.4984741,,37.53603745,0.196792647,2.65322566,16.05216026,130.595993,0,15-1-SN-2X,17.07259941
3694.6332,0,,0.662021935,53.54850388,,464,88.99958801,322.2433472,,46.38455582,0.196414694,2.643055201,15.25047779,130,0,15-1-SN-2X,17.65089989
3694.7856,0,,0.678955436,52.9262619,,464,84.19242096,393.9422913,,58.70638657,0.19360368,2.627658844,15.41964436,130,0,15-1-SN-2X,18.5272007
3694.938,0,,0.682999611,52.32790375,,463.3099976,81.14123535,448.0021362,,67.99929047,0.195774287,2.613640547,16.75691032,130,0,15-1-SN-2X,19.13440132
3695.0904,0,,0.658851385,51.84566498,,464.8080139,79.53031158,469.8995972,,70.7808075,0.202774286,2.605811119,14.37444592,130.4519959,0,15-1-SN-2X,19.32932091
3695.2428,0,,0.602074742,51.47431946,,466.3580017,78.81745148,472.3798523,,69.69124603,0.206603676,2.604000092,8.659440994,130.7859955,0,15-1-SN-2X,19.19440079
3695.3952,0,,0.552987397,51.16912079,,464.071991,79.00803375,463.5238953,,67.6477356,0.206396326,2.601225615,7.397077084,130.0240021,0,15-1-SN-2X,18.88959885
